zip,Name,Address,Phone,Type,Website,latitude,longitude,zip
28449,North Carolina Aquarium at Fort Fisher,"900 Loggerhead Rd, Kure Beach, NC 28449",(910) 772-0500,Sea Life,https://www.ncaquariums.com/fort-fisher,33.9629149,-77.9254669,28449
28512,North Carolina Aquarium at PINE KNOLL SHORES,"1 Roosevelt Blvd., Pine Knoll Shores, NC 28512",(252) 247-4003,Sea Life,https://www.ncaquariums.com/pine-knoll-shores,34.697697,-76.821524,28512
27205,North Carolina Zoo,4401 Zoo Pkwy Asheboro NC 27205,(336) 879-7000,Zoo,www.nczoo.org,35.63330616,-79.78233969,27205
27217,Animal Park at the Conservators Center,"676 E. Hughes Mill Rd Burlington, NC 27217",(336) 421-0883,Zoo,https://animalparknc.org,36.254053,-79.306631,27217
27284,"Kernersville Reptile Zoo, Medical Center & Pet Store",821 S Main St Kernersville NC 27284,(336) 749 3250,Zoo,https://free-4540217.webadorsite.com,35.5933058,-82.5827901,27284
27455,Greensboro Science Center,"4301 Lawndale Dr, Greensboro, NC 27455",(336) 288-3769,Zoo,https://www.greensboroscience.org,36.1300042,-79.8337793,27455
27505,Broadway Zoological Park,1096 Patterson Rd Broadway NC 27505,(919) 258-0111,Zoo,https://broadwayzoologicalpark.com,35.443577,-78.983366,27505
27852,It's A Zoo Life,"4313 NC-42, Macclesfield, NC 27852",(252) 266 7974,Zoo,https://www.itsazoolife.com,35.750972,-77.670582,27852
28078,Carolina Raptor Center,"6000 Sample Road, Huntersville, NC 28078",(704) 875-6521,Zoo,https://carolinaraptorcenter.org,35.350341,-80.9183292,28078
28112,Why Not An American Ark,3224 Medlin Rd Monroe NC 28112,(704) 226-5406,Zoo,www.wnaaa.com,34.96583649,-80.52504389,28112
28115,Lazy 5 Ranch,15100 Mooresville Rd Mooresville NC 28115,(704) 663-5100,Zoo,www.thelazy5ranch.com,35.62211742,-80.71491396,28115
28138,Tiger World,"4400 Cook Rd, Rockwell, NC 28138",(704) 279-6363,Zoo,https://tigerworld.us,35.549074,-80.494939,28138
28146,Rowan Wildlife Adventures,"Ê570 Seth Murdoch Rd, Salisbury, NC 28146",(704) 216-7819,Zoo,https://www.rowancountync.gov/183/Rowan-Wild-at-Dan-Nicholas-Park,35.635592,-80.349535,28146
28152,Circle M Safari Park,"117 Doris Dr, Shelby, NC 28152",(704) 300-6162,Zoo,https://www.facebook.com/circlemlivestock/,35.28126,-81.605766,28152
28166,Barnyard Animals Petting Zoo,448 Pilch Rd Troutman NC 28166,(704) 245-6446,Zoo,www.zootasticpark.com,35.69788978,-80.84505266,28166
28216,Darby Safari,"Kelly Rd, Charlotte, NC, 28216 (check website) ",704-738-4445,Zoo,https://www.darbyacresfarm.com,35.315795,-80.91464,28216
28326,Aloha Safari Zoo,159 Mini Ln Cameron NC 28326,(919) 770-7109,Zoo,www.alohasafaripark.com,35.31781969,-79.11343756,28326
28371,Parkton Animal Oasis,"1585 Armory Rd, Parkton, NC 28371",(910) 265-1937_,Zoo,https://www.parkton-animal-oasis.com,34.910507,-79.011579,28371
28540,Lynnwood Park Zoo,1071 Wells Rd Jacksonville NC 28540,(910) 938-5848,Zoo,www.lynnwoodparkzoo.com,34.79815777,-77.49616873,28540
28646,Mildred the Bear Wildlife Habitats,"2050 Blowing Rock Highway, Linville, NC 28646",800-468-7325,Zoo,https://grandfather.com/visit/things-to-do/wildlife-habitats/,36.0971058,-81.8224382,28646
28805,Friends of Western North Carolina Nature Center,"75 Gashes Creek Road Asheville, NC 28805",828-259-8080,Zoo,https://wildwnc.org,35.5794625,-82.4937685,28805
29547,Reptile Lagoon,"3346 US-301, Hamer, SC 29547",(843) 774-2411,Zoo,https://www.sobpedro.com/attractions/reptile-lagoon,34.4964667,-79.3110941,29547
